x,y,tleaf_of_bt,vsl_bt,vsl_nt,alpha,nmass_bt,nmass_nt,tupp,mort_base_bt,mort_base_nt,alpha_red_bt,alpha_red_nt,crwn_area0_bt,crwn_area0_nt,lai_bal0_bt,lai_bal0_nt,phi_a,phi_l,rootd,f0,nsw,hs_sw,mass0,startyear,endyear,scenario,ensemble,id
285500,604500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP1
282500,594500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP2
291500,589500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP3
314500,588500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP4
314500,587500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP5
289500,586500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP6
335500,586500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP7
336500,585500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP8
335500,584500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP9
319500,530500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP10
316500,524500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP11
330500,523500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP12
331500,521500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP13
340500,513500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP14
341500,503500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP15
340500,501500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP16
355500,499500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP17
334500,498500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP18
344500,498500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP19
355500,498500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP20
346500,497500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP21
350500,497500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP22
352500,497500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP23
355500,497500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP24
356500,497500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP25
357500,497500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP26
355500,496500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP27
356500,496500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP28
357500,496500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP29
361500,496500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP30
362500,496500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP31
343500,495500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP32
345500,495500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP33
356500,495500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP34
362500,495500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP35
363500,495500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP36
343500,494500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP37
356500,494500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP38
362500,494500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP39
363500,494500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP40
345500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP41
348500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP42
350500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP43
353500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP44
356500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP45
363500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP46
368500,493500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP47
318500,492500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP48
353500,492500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP49
366500,492500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP50
367500,492500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP51
368500,492500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP52
353500,491500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP53
