x,y,tleaf_of_bt,vsl_bt,vsl_nt,alpha,nmass_bt,nmass_nt,tupp,mort_base_bt,mort_base_nt,alpha_red_bt,alpha_red_nt,crwn_area0_bt,crwn_area0_nt,lai_bal0_bt,lai_bal0_nt,phi_a,phi_l,rootd,f0,nsw,hs_sw,mass0,startyear,endyear,scenario,ensemble,id
366500,491500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP54
354500,490500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP55
355500,490500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP56
361500,490500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP57
365500,490500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP58
366500,490500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP59
361500,489500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP60
363500,489500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP61
363500,488500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP62
363500,487500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP63
369500,487500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP64
370500,487500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP65
363500,486500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP66
371500,486500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP67
363500,485500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP68
360500,484500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP69
327500,483500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP70
358500,483500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP71
359500,482500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP72
356500,479500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP73
358500,479500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP74
363500,479500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP75
377500,469500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP76
381500,464500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP77
361500,418500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP78
256500,354500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP79
251500,353500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP80
260500,349500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP81
314500,342500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP82
316500,342500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP83
298500,336500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP84
299500,336500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP85
303500,325500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP86
285500,312500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP87
300500,295500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP88
300500,289500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP89
271500,278500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP90
273500,223500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP91
326500,193500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP92
315500,191500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP93
312500,184500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP94
317500,184500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP95
314500,183500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP96
279500,149500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP97
262500,135500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP98
262500,134500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP99
268500,134500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP100
291500,134500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP101
264500,131500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP102
269500,131500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP103
268500,130500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP104
269500,130500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP105
274500,130500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP106
272500,129500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP107
272500,128500,271,7,18.15,0.08,0.02,0.0115,37,0.04,0.00736754296873213,0.04,0.0418260621329854,0.4,0.11509695579442,0.6,0.169367688861862,0.5,0.25,1.8,0.875,0.0083,0.5,0.044150884205278,1973,2018,26,6,REDHARP108
